====> EPOCH: 1, Abundance NRMSE: 1.388354, Endmember NRMSE: 1.211328
====> EPOCH: 2, Abundance NRMSE: 1.393377, Endmember NRMSE: 1.210829
====> EPOCH: 3, Abundance NRMSE: 1.390668, Endmember NRMSE: 1.212506
====> EPOCH: 4, Abundance NRMSE: 1.388563, Endmember NRMSE: 1.213684
====> EPOCH: 5, Abundance NRMSE: 1.388601, Endmember NRMSE: 1.210793
====> EPOCH: 6, Abundance NRMSE: 1.396315, Endmember NRMSE: 1.210469
====> EPOCH: 7, Abundance NRMSE: 1.392081, Endmember NRMSE: 1.210223
====> EPOCH: 8, Abundance NRMSE: 1.392528, Endmember NRMSE: 1.212475
====> EPOCH: 9, Abundance NRMSE: 1.391122, Endmember NRMSE: 1.210983
====> EPOCH: 10, Abundance NRMSE: 1.389308, Endmember NRMSE: 1.210138
====> EPOCH: 11, Abundance NRMSE: 1.395516, Endmember NRMSE: 1.211232
====> EPOCH: 12, Abundance NRMSE: 1.386760, Endmember NRMSE: 1.210665
====> EPOCH: 13, Abundance NRMSE: 1.383466, Endmember NRMSE: 1.210598
====> EPOCH: 14, Abundance NRMSE: 1.395110, Endmember NRMSE: 1.211048
====> EPOCH: 15, Abundance NRMSE: 1.375044, Endmember NRMSE: 1.213731
====> EPOCH: 16, Abundance NRMSE: 1.384753, Endmember NRMSE: 1.213749
====> EPOCH: 17, Abundance NRMSE: 1.390239, Endmember NRMSE: 1.212058
====> EPOCH: 18, Abundance NRMSE: 1.388199, Endmember NRMSE: 1.213657
====> EPOCH: 19, Abundance NRMSE: 1.398369, Endmember NRMSE: 1.211902
